learning_rate,layer_sizes,use_dropout,use_batch_norm,train_rmse,val_rmse
0.01,"[128, 128, 128]",False,True,2.6549272862908135,2.8198468888846047
0.01,"[128, 128, 128]",False,True,1.948037205231316,2.2138352707497897
0.01,"[128, 128, 128]",False,True,2.333496662393989,2.6614107819446233
0.01,"[128, 128, 128]",False,False,2.424451913615059,2.6530555786167054
0.01,"[128, 128, 128]",False,False,2.388268274957596,2.291917049084027
0.01,"[128, 128, 128]",False,False,1.9979479789535997,1.8982547965466519
0.01,"[128, 64]",True,True,2.1483247140531634,2.341745067020483
0.01,"[128, 64]",True,True,1.801690557903246,1.9837171125233033
0.01,"[128, 64]",True,True,2.9339647957092185,3.394998955597407
0.01,"[128, 64]",True,False,2.1907854913473472,2.17270180527468
0.01,"[128, 64]",True,False,2.347250161280872,2.480520032199786
0.01,"[128, 64]",True,False,2.1745641261201905,2.0755534344603697
0.01,"[128, 64]",False,True,2.0686515936232683,2.3244238358958453
0.01,"[128, 64]",False,True,2.2167733857289402,2.3868916161554035
0.01,"[128, 64]",False,True,2.140571874176591,2.4599003595971953
0.01,"[128, 64]",False,False,2.362796945647086,2.26442468737366
0.01,"[128, 64]",False,False,2.387467914662214,2.308156178282627
0.01,"[128, 64]",False,False,2.1879904574657427,2.460315101500631
0.01,"[256, 64]",True,True,2.5408018288518774,2.766707489417369
0.01,"[256, 64]",True,True,2.3156165855486037,2.548319501298787
0.01,"[256, 64]",True,True,1.847406581299299,2.2642886550576367
0.01,"[256, 64]",True,False,2.067777037382772,2.16998679933521
0.01,"[256, 64]",True,False,2.6331359946935096,2.6588271499149
0.01,"[256, 64]",True,False,2.211720337623571,2.1128436609006025
0.01,"[256, 64]",False,True,2.377161369850746,2.577998639650521
0.01,"[256, 64]",False,True,3.103095096693053,3.3906025361535934
0.01,"[256, 64]",False,True,2.226529423636219,2.4947531311887174
0.01,"[256, 64]",False,False,2.3245732224690223,2.2333638118060675
0.01,"[256, 64]",False,False,1.7938678407097286,1.888255196339846
0.01,"[256, 64]",False,False,2.2112059003617714,2.1123262072758853
0.01,"[512, 128, 64]",True,True,2.5434804310422003,2.7781035572328228
0.01,"[512, 128, 64]",True,True,2.013015935870109,2.3057911035290504
0.01,"[512, 128, 64]",True,True,2.249042841592001,2.540315857838134
0.01,"[512, 128, 64]",True,False,2.3583515051363766,2.259965112214288
0.01,"[512, 128, 64]",True,False,2.359602049754724,2.264303705889501
0.01,"[512, 128, 64]",True,False,2.269070453604,2.1703908166903956
0.01,"[512, 128, 64]",False,True,2.5502028778881165,2.8412493004549746
0.01,"[512, 128, 64]",False,True,3.019159750473267,3.286592926761987
0.01,"[512, 128, 64]",False,True,2.0983722273343726,2.514575355628081
0.01,"[512, 128, 64]",False,False,2.359756408048686,2.2613694452881634
0.01,"[512, 128, 64]",False,False,2.3280342760211434,2.2476888193573017
0.01,"[512, 128, 64]",False,False,2.2745792593208782,2.1759182477707877
